id,system_name,anomaly_type,name,effect,discovery_text
1,UR,BEACON_ANCIENT,The Whisper Gate,Unknown. Non-functional but emits faint energy signatures when ships pass between binary stars.,Between Ur Alpha and Beta hangs an ancient structure of impossible geometry. It does not respond to hails but sensors detect energy flows within.
2,LARSU,ARTIFACT,Core Fragment,Exotic matter signatures suggest unknown physics. Research ongoing.,Deep within The Shatter lies a crystallized fragment of planetary core. Its composition includes materials not found in any catalog.
3,NINEVEH,ARTIFACT,The First Library,Partially decoded Elder Race data cache. Contains fragments of star charts and incomprehensible records.,Beneath Gilded Throne's oldest ruins lies a vault of crystalline data storage. The Ninevites have spent centuries decoding fragments.
4,BABYLON,SPATIAL_RIFT,Ishtar Gate,Dormant portal structure. Origin unknown. Occasionally fluctuates in energy readings.,On the moon Ishtar stands a ring of unknown metal twenty meters across. It does nothing but ancient texts speak of lights within.
5,UGARIT,PHENOMENON,The Dying Light,Unusual spectral emissions from the star. Studied but unexplained. No apparent effect.,Ugarit Dusk's light carries harmonics that should not exist. Spectral analysis reveals patterns that seem almost intentional.
6,NIPPUR,BEACON_ANCIENT,Axis Marker,Functional Elder Race navigation beacon. Ships report improved warpline entry efficiency.,At the precise gravitational center of Nippur's orbital plane floats an ancient beacon still broadcasting after untold millennia.
7,ELAM,ARTIFACT,The Keplerite Vein,Source of warp-enhancing crystals. Monopolized by Lithoids who extract slowly.,The asteroid belt here contains a massive deposit of crystalline material that resonates with warp field harmonics.
8,UMMA,GRAVEYARD,The Scrapyard,Hundreds of destroyed warships from the Last War. Salvage potential but also unexploded ordnance hazard.,The belt is choked with hulks from a battle centuries past. Some still have power. Some still have weapons.
9,KISH,PHENOMENON,The Congregation,Ancient shrine. Pilgrims claim healing properties. No scientific verification.,On Pilgrims End an ancient structure draws the faithful from across space. Some claim miracles. Scientists find nothing unusual.
10,SUMER,ARTIFACT,The Core,Central processor of the Remnant machine civilization. Source of their directives.,Sumer Eternal orbits a world where machines rule. At its heart lies a crystalline core that even the Remnant claim predates their memory.
11,GIRSU,PHENOMENON,The Song,Vesh hive produces subsonic vibrations felt across the system. Purpose unknown.,The Vesh hive on Girsu emits vibrations that penetrate vacuum. Ships report crew unease. The Vesh claim they are singing.
12,AKKAD,PHENOMENON,The Deep,Unexplored ocean depths on Akkad I. Kethrani legends speak of something ancient below.,The Kethrani civilization arose on Akkad Jewel from the depths of oceans so deep that even they have not explored the bottom.
13,BYBLOS,RADIATION_ZONE,The Shimmer,Intense radiation from close approach to young star creates sensor difficulties in inner system.,Byblos Shimmer burns so bright that sensors become unreliable within the inner ring. Ships sometimes see things.
14,SUSA,DERELICT,Ancient Station,Pre-colonization orbital structure. Explored but not fully understood.,In high orbit around Susa II hangs a station that predates human arrival by millennia. The Susa claim it as heritage.
15,ADAB,GRAVEYARD,Junction Debris,Remnants of ancient battles at this strategic junction. Some debris still drifts.,The space around Adab contains fragments of ships from multiple eras. This junction has been fought over many times.
16,CALAH,DARK_NEBULA,The Veil,Interstellar dust reduces long-range sensors. Ships sometimes arrive unexpectedly.,Dense dust between Calah and the warplines makes long-range detection difficult. Ambushes are possible here.
17,JARMO,BEACON_ANCIENT,The Spark,Ancient navigation aid. Less functional than Nippur marker but still active.,Just beyond Jarmo II an ancient beacon gutters like a failing flame. It may have guided ships here millennia ago.
