1,0307,ARVEN,1,,A,Alliance Territories
1,0606,BELIX,1,,A,Alliance Territories
1,0804,CAYRU,1,,A,Alliance Territories
1,0611,DORSAI,0,,,,
1,0710,ELYR,0,,,,
1,0908,FEXON,0,,,,
1,0813,GALEN,0,,,,
1,1011,HAVOR,0,,,,
1,1207,ITHRA,0,,,,
1,1014,JEXEL,0,,,,
1,1310,KORAL,0,,,,
1,1313,LYRIS,0,,,,
1,1415,MAVIK,0,,,,
1,1614,NOREX,0,,,,
1,1712,OPHIR,0,,,,
1,1419,PRYON,0,,,,
1,1616,QUELL,0,,,,
1,1814,RAXEN,0,,,,
1,1719,SYDRA,0,,,,
1,1817,TAVON,0,,,,
1,1622,ULEX,0,,,,
1,1922,VARYN,0,,,,
1,2020,WEXAR,0,,,,
1,2118,XYLEN,0,,,,
1,2318,YORIN,0,,,,
1,2125,ZAREK,1,,B,Dominion Space
1,2223,ASTREX,1,,B,Dominion Space
1,2622,BRION,1,,B,Dominion Space
