id,system_name,designation,orbital_position,density,composition,hazard_level,notes
1,CAYRU,The Shatter,4.2,Dense,Metallic,Significant,Remnants of a shattered planet. Rich in rare metals but navigation hazardous.
2,ZAREK,The Procession,5.5,Moderate,Ice,Minor,Ice asteroids. Water supply for inner system.
3,BRION,Old Guard,5.0,Moderate,Metallic,Minor,Industrial tailings from millennia of mining. Still valuable salvage.
4,GALEN,Galen Ring,3.5,Dense,Mixed,Significant,Prominent ring visible system-wide. Mining bonanza.
5,HAVOR,The Sprawl,4.0,Dense,Mixed,Minor,Extensive belt. Multiple claims and operations.
6,KORAL,The Sprawl,4.5,Dense,Mixed,Minor,Rich asteroid belt. Heavily worked.
7,QUELL,The Quarry,1.8,Dense,Metallic,Minor,Contains Keplerite veins. Exotic crystalline deposits.
8,SYDRA,Scrapyard,4.0,Moderate,Metallic,Significant,Battle debris from Last War. Hundreds of hulks.
9,MAVIK,Forge Belt,4.5,Moderate,Metallic,Minor,Industrial asteroid processing zone.
10,ITHRA,Ancient Ring,3.5,Sparse,Silicate,None,Old stable belt. Minimal resources remaining.
11,WEXAR,Depth Ring,4.5,Moderate,Ice,None,Ice-rich belt. Water harvesting operations.
12,XYLEN,Crystal Field,0.8,Sparse,Carbonaceous,None,Unusual crystalline asteroids. Scientific interest.
