id,system_name,star_id,orbital_position,designation,common_name,planet_type,atmosphere,hydrosphere,biosphere,habitability,notes
1,ARVEN,1,1,Arven I,Crucible,Rocky,Thin,None,None,Hostile,Tidally locked. Mining outposts on dark side extract metals from ancient impact craters.
2,ARVEN,1,2,Arven II,Verdance,Rocky,Standard,Ocean,Complex,Garden,Temperate garden world. Capital of Western Alliance. Breadbasket of the frontier.
3,ARVEN,1,3,Arven III,The Anvil,Rocky,Thin,Trace,None,Marginal,Industrial world. Vast shipyards orbit above strip-mined surface.
4,ARVEN,1,4,Arven IV,Shepherd,GasGiant,Exotic,None,None,Hostile,Massive hydrogen giant. Extraction platforms harvest fuel and volatiles.
5,ARVEN,1,5,Arven V,Far Watch,IceGiant,Dense,Ice,None,Hostile,Distant ice giant. Naval academy and deep-space sensor arrays.
6,BELIX,2,1,Belix I,Cinder,Rocky,None,None,None,Hostile,Scorched rock too close to Belix Alpha. Minimal atmosphere blown away.
7,BELIX,2,2,Belix II,Threshold,Rocky,Standard,Trace,Microbial,Marginal,Heavy industrial world. Ancient terraforming partially successful.
8,BELIX,2,3,Belix III,Haven,Rocky,Standard,Ocean,Complex,Garden,Garden world. Population center and cultural heart of Belix system.
9,BELIX,2,4,Belix IV,Bastion,Rocky,Thin,Trace,None,Marginal,Fortress world. Military headquarters of Western Defense Command.
10,BELIX,2,5,Belix V,Cloud Marshal,GasGiant,Exotic,None,None,Hostile,Helium-3 harvesting. Critical fuel source for Western fleets.
11,BELIX,2,6,Belix VI,Drift,Dwarf,None,Ice,None,Hostile,Distant ice dwarf. Research station studies outer reaches.
12,CAYRU,4,1,Cayru I,Glare,Rocky,None,None,None,Hostile,Radiation-scorched. No permanent habitation possible.
13,CAYRU,4,2,Cayru II,Copper Gate,Rocky,Thin,Trace,None,Marginal,Mining world and trade hub. Gateway commerce center.
14,CAYRU,4,3,Cayru III,Meridian,Rocky,Standard,Moderate,Primitive,Comfortable,Capital world. Domed cities protect from UV radiation.
15,CAYRU,4,5,Cayru V,Mammoth,GasGiant,Exotic,None,None,Hostile,Storm-wracked giant. Scientific research into atmospheric dynamics.
16,CAYRU,4,6,Cayru VI,Outrider,IceGiant,Dense,Ice,None,Hostile,Distant ice giant. Moons largely unmapped.
17,ZAREK,5,1,Zarek I,Glass,Rocky,None,None,None,Hostile,Surface fused by stellar radiation. Uninhabitable.
18,ZAREK,5,2,Zarek II,Gilded Throne,Rocky,Standard,Trace,Complex,Comfortable,Capital world. Ancient ruins predate Zarek colonization.
19,ZAREK,5,3,Zarek III,Servitor,Rocky,Thin,None,None,Marginal,Automated industrial world. Machine intelligence runs operations.
20,ZAREK,5,4,Zarek IV,Archive,Rocky,Standard,Moderate,Primitive,Comfortable,Library world. Vast data vaults preserve knowledge of ages.
21,ZAREK,5,6,Zarek VI,Leviathan,GasGiant,Exotic,None,None,Hostile,Massive gas giant. 74 moons orbit this behemoth.
22,ZAREK,5,7,Zarek VII,Specter,IceGiant,Dense,Ice,None,Hostile,Dark and cold. Largely unexplored outer reaches.
23,ASTREX,6,1,Astrex I,Hearth,Rocky,Thin,None,None,Hostile,Volcanic world. Rich in metals but dangerous to work.
24,ASTREX,6,2,Astrex II,Hanging Gardens,Rocky,Standard,Ocean,Complex,Garden,Garden world. Capital of Eastern powers. Legendary beauty.
25,ASTREX,6,3,Astrex III,Ziggurat,Rocky,Standard,Moderate,Complex,Comfortable,Temple world. Cultural and religious center.
26,ASTREX,6,4,Astrex IV,Commerce,Rocky,Standard,Trace,Primitive,Comfortable,Neutral trading world by ancient treaty. All welcome.
27,ASTREX,6,5,Astrex V,Sentinel,GasGiant,Exotic,None,None,Hostile,Military staging area. Fortress moons guard approaches.
28,ASTREX,6,6,Astrex VI,Wanderer,IceGiant,Dense,Ice,None,Hostile,Eccentric orbit. Seasons last centuries.
29,BRION,7,1,Brion I,Ember,Rocky,Thin,None,None,Hostile,Cooling world. Once molten surface now solidifying.
30,BRION,7,2,Brion II,Dagans Rest,Rocky,Standard,Moderate,Complex,Comfortable,Agricultural world. Breadbasket of Eastern territories.
31,BRION,7,3,Brion III,The Foundry,Rocky,Thin,None,None,Marginal,Heavy industrial. Strip-mined for millennia.
32,BRION,7,4,Brion IV,Saltpan,Rocky,Thin,Trace,Microbial,Marginal,Dry world. Chemical processing facilities.
33,BRION,7,6,Brion VI,Remnant,Dwarf,None,Ice,None,Hostile,Distant listening post. Monitors outer approaches.
34,DORSAI,8,1,Dorsai I,Sunder,Rocky,Thin,None,None,Hostile,Volcanic. Mining operations extract rare metals.
35,DORSAI,8,2,Dorsai II,Waypoint,Rocky,Standard,Trace,Microbial,Marginal,Colony world. First stop from Arven.
36,DORSAI,8,3,Dorsai III,Quiet,Rocky,Thin,Trace,None,Marginal,Sparse population. Agricultural development ongoing.
37,ELYR,9,1,Elyr I,Scorch,Rocky,None,None,None,Hostile,Too close to star. Minimal value.
38,ELYR,9,2,Elyr II,Crossroad,Rocky,Standard,Moderate,Primitive,Comfortable,Junction world. Trade and transit hub.
39,ELYR,9,3,Elyr III,Lowlands,Rocky,Standard,Ocean,Complex,Comfortable,Ocean world. Fishing and aquaculture.
40,ELYR,9,4,Elyr IV,Giant Step,GasGiant,Exotic,None,None,Hostile,Fuel harvesting. Minor refinery operations.
41,FEXON,10,1,Fexon I,Stone,Rocky,None,None,None,Hostile,Airless rock. Minimal resources.
42,FEXON,10,2,Fexon II,Outreach,Rocky,Thin,Trace,Microbial,Marginal,Frontier colony. Sparse population.
43,FEXON,10,3,Fexon III,Stalwart,Rocky,Standard,Moderate,Primitive,Comfortable,Main colony. Military outpost guards approaches.
44,GALEN,11,1,Galen I,Flash,Rocky,None,None,None,Hostile,Blinding close orbit. Uninhabitable.
45,GALEN,11,2,Galen II,Ring View,Rocky,Thin,Trace,None,Marginal,Colony with spectacular view of asteroid rings.
46,GALEN,11,4,Galen IV,Outer Ring,GasGiant,Exotic,None,None,Hostile,Gas giant with prominent ring system.
47,HAVOR,12,1,Havor I,Core,Rocky,Thin,None,None,Hostile,Dense metallic core. Heavy mining.
48,HAVOR,12,2,Havor II,Junction,Rocky,Standard,Trace,Primitive,Comfortable,Transit hub. Three warplines connect here.
49,HAVOR,12,3,Havor III,Green Belt,Rocky,Standard,Moderate,Complex,Comfortable,Agricultural world. Feeds the junction populations.
50,HAVOR,12,4,Havor IV,Titan,GasGiant,Exotic,None,None,Hostile,Major gas giant. Fuel harvesting operations.
51,ITHRA,13,1,Ithra I,Ancient,Rocky,None,None,None,Hostile,Airless ancient world. Geological interest only.
52,ITHRA,13,2,Ithra II,Keeper,Rocky,Thin,Trace,Microbial,Marginal,Old colony. Conservative population resists change.
53,ITHRA,13,3,Ithra III,Tradition,Rocky,Standard,Moderate,Primitive,Comfortable,Cultural center. Preserves ancient ways.
54,JEXEL,14,1,Jexel I,Pale Light,Rocky,Thin,None,None,Hostile,Dim world far from weak star.
55,JEXEL,14,2,Jexel II,Endurance,Rocky,Thin,Trace,Microbial,Marginal,Hardy colony. Inhabitants adapted to harsh light.
56,JEXEL,14,3,Jexel III,Last Light,Rocky,Standard,Moderate,Primitive,Marginal,Outer habitable zone. Cold but livable.
57,KORAL,15,1,Koral I,First Light,Rocky,Thin,None,None,Hostile,Mining colony. Heavy metal extraction.
58,KORAL,15,2,Koral II,Confluence,Rocky,Standard,Trace,Primitive,Comfortable,Trade world. Heavily contested between factions.
59,KORAL,15,3,Koral III,Brokers Seat,Rocky,Standard,Moderate,Primitive,Comfortable,Neutral trading post. Merchants from all territories.
60,KORAL,15,5,Koral V,Tribute,GasGiant,Exotic,None,None,Hostile,Major fuel depot. Critical strategic resource.
61,LYRIS,16,1,Lyris I,Frozen,Rocky,Thin,Ice,None,Hostile,Ice world despite proximity to Havor warpline.
62,LYRIS,16,2,Lyris II,Dim,Rocky,Thin,Trace,Microbial,Marginal,Sparse colony. Red dwarf provides little warmth.
63,MAVIK,17,1,Mavik I,Slag,Rocky,None,None,None,Hostile,Molten surface. Uninhabitable inferno.
64,MAVIK,17,2,Mavik II,Furnace,Rocky,Thin,None,None,Hostile,Barely cooled. Mining robots only.
65,MAVIK,17,3,Mavik III,Tempered,Rocky,Thin,Trace,Microbial,Marginal,First habitable zone. Mining and refining.
66,MAVIK,17,4,Mavik IV,Forge,Rocky,Standard,Trace,Primitive,Marginal,Industrial world. Weapons manufacturing.
67,MAVIK,17,5,Mavik V,Relief,GasGiant,Exotic,None,None,Hostile,Cooler giant. Fuel operations.
68,NOREX,18,1,Norex I,Mercury,Rocky,None,None,None,Hostile,Close orbit. Dense metallic composition.
69,NOREX,18,2,Norex II,Center,Rocky,Standard,Moderate,Complex,Comfortable,Major crossroads world. Cosmopolitan population.
70,NOREX,18,3,Norex III,Stable,Rocky,Standard,Moderate,Primitive,Comfortable,Agricultural support for Center.
71,NOREX,18,4,Norex IV,Distant,GasGiant,Exotic,None,None,Hostile,Fuel processing. Standard operations.
72,OPHIR,19,1,Ophir I,Close Watch,Rocky,Thin,None,None,Hostile,Inner mining world.
73,OPHIR,19,2,Ophir II,Vigilance,Rocky,Standard,Trace,Primitive,Comfortable,Colony world. Watches the crossroads.
74,OPHIR,19,3,Ophir III,Outer Reach,Rocky,Thin,Trace,Microbial,Marginal,Frontier settlement.
75,PRYON,20,1,Pryon I,Dim Shore,Rocky,Thin,None,None,Hostile,Cold and dark. Red dwarf barely warms.
76,PRYON,20,2,Pryon II,Persistence,Rocky,Thin,Ice,Microbial,Marginal,Hardy colony survives on determination.
77,QUELL,21,1,Quell I,Tideland,Rocky,Thin,Trace,Complex,Marginal,Tidally locked. Habitable terminator zone. Lithoid homeworld.
78,QUELL,21,3,Quell III,Deep Red,Dwarf,None,Ice,None,Hostile,Distant ice dwarf. Unexplored.
79,RAXEN,22,1,Raxen I,Bright,Rocky,Thin,None,None,Hostile,Close orbit. Intense radiation.
80,RAXEN,22,2,Raxen II,Gateway,Rocky,Standard,Trace,Primitive,Comfortable,Gateway world to eastern territories.
81,RAXEN,22,3,Raxen III,Promise,Rocky,Standard,Moderate,Primitive,Comfortable,Developing colony. Growing population.
82,RAXEN,22,4,Raxen IV,Giant,GasGiant,Exotic,None,None,Hostile,Standard gas giant. Fuel operations.
83,SYDRA,23,1,Sydra I,Char,Rocky,None,None,None,Hostile,Burned out. Abandoned after ancient war.
84,SYDRA,23,2,Sydra II,Contested,Rocky,Thin,Trace,Microbial,Marginal,War-torn world. Multiple claims. Ruined cities.
85,SYDRA,23,3,Sydra III,Bounty,Rocky,Standard,Moderate,Complex,Comfortable,Agricultural world. Fought over for resources.
86,SYDRA,23,5,Sydra V,Giants Toll,GasGiant,Exotic,None,None,Hostile,Fuel source. Dangerous approach vectors.
87,TAVON,24,1,Tavon I,Hive,Rocky,Dense,Trace,Sapient,Marginal,Vesh homeworld. Dense atmosphere suits their biology.
88,TAVON,24,2,Tavon II,Colony,Rocky,Dense,Trace,Complex,Marginal,Secondary Vesh world. Expanding hive territory.
89,ULEX,25,1,Ulex I,Pale,Rocky,Thin,None,None,Hostile,Dim world. Sparse mineral deposits.
90,ULEX,25,2,Ulex II,Path,Rocky,Thin,Trace,Microbial,Marginal,Gateway to Zarek. Strategic importance.
91,VARYN,26,1,Varyn I,Legacy,Rocky,Thin,None,None,Hostile,Ancient mining operations. Long exhausted.
92,VARYN,26,2,Varyn II,Eternal,Rocky,Standard,Trace,Complex,Comfortable,Remnant homeworld. Machine civilization center.
93,VARYN,26,3,Varyn III,Archive,Rocky,Thin,Trace,Primitive,Marginal,Data storage. Remnant memory banks.
94,WEXAR,27,1,Wexar I,Jewel,Rocky,Standard,Ocean,Complex,Garden,Kethrani homeworld. Vast oceans teem with life.
95,WEXAR,27,2,Wexar II,Pearl,Rocky,Standard,Ocean,Complex,Comfortable,Secondary ocean world. Kethrani colonies.
96,WEXAR,27,3,Wexar III,Atoll,Rocky,Standard,Moderate,Primitive,Comfortable,Island world. Mixed populations.
97,WEXAR,27,4,Wexar IV,Deep,GasGiant,Exotic,None,None,Hostile,Gas giant with water-rich moons.
98,XYLEN,28,1,Xylen I,Glassine,Rocky,Thin,None,None,Hostile,Crystal formations cover surface. Mining operations.
99,XYLEN,28,2,Xylen II,Pilgrims End,Rocky,Thin,Trace,Primitive,Marginal,Religious colony. Ancient shrine draws faithful.
100,XYLEN,28,3,Xylen III,Nexus,Rocky,Standard,Moderate,Complex,Comfortable,Free port. True cosmopolitan melting pot.
101,XYLEN,28,4,Xylen IV,Rampart,GasGiant,Exotic,None,None,Hostile,Fortress moons. Mercenary stronghold.
102,XYLEN,28,5,Xylen V,Twilight,IceGiant,Dense,Ice,None,Hostile,Research outpost on outer edge.
103,YORIN,29,1,Yorin I,Warm,Rocky,Thin,None,None,Hostile,Close orbit. Minimal resources.
104,YORIN,29,2,Yorin II,Passage,Rocky,Standard,Trace,Primitive,Comfortable,Gateway to Brion. Trade center.
105,YORIN,29,3,Yorin III,Setting,Rocky,Standard,Moderate,Primitive,Comfortable,Colony world. Growing population.
