system_name,rumor_text,knowledge_level
SONAL,The heart of the Western Alliance. A stable yellow star with rich agricultural and industrial worlds.,Charted
UR,Ancient binary star system. Population centers on multiple worlds. Strong military presence.,Charted
LARSU,Young energetic star. The Shatter asteroid belt is said to contain rare metals from a destroyed planet.,Charted
NINEVEH,Brilliant white star. The Ninevites rule from Gilded Throne where ancient ruins predate their civilization.,Charted
BABYLON,Legendary Hanging Gardens orbit Babylon Prima. A center of culture and commerce for the East.,Charted
UGARIT,Ancient orange star said to be dying slowly. Industrial heartland with depleted resources.,Charted
SIPPUR,First waypoint from Sonal. Mostly undeveloped but strategically positioned.,Rumored
ERECH,Junction system between Ur and the contested zones. Trade and fishing colonies.,Rumored
CALAH,Distant orange star at the edge of charted space. Military outpost guards the approaches.,Rumored
BYBLOS,Young star with spectacular asteroid rings. Rumors of rich mineral deposits.,Rumored
ADAB,Central junction. Three warplines meet here. Heavily trafficked and contested.,Rumored
SUSA,One of the oldest stars known. Conservative population guards ancient ways.,Rumored
UBAID,Dim star beginning its expansion. Hardy colonists survive in difficult conditions.,Rumored
NIPPUR,The Axis. Four warplines converge here. Most strategic location in contested space.,Rumored
KHAFA,Cold red dwarf near Adab. Sparse population in harsh conditions.,Unknown
MARI,Bright hot star. Inner planets are furnaces. Industrial development further out.,Rumored
LAGASH,Major crossroads world. Cosmopolitan population from many cultures.,Rumored
ASSUR,Steady orange star near Lagash. Border watchers monitor the contested zones.,Unknown
SUMARRA,Dim ancient red dwarf. Survival-focused colonies in minimal conditions.,Unknown
ELAM,Isolated red dwarf with single warpline. Rumors of exotic crystalline deposits and alien miners.,Rumored
JARMO,Gateway to eastern territories. Developing colonies with growing importance.,Rumored
UMMA,Four warplines meet at this heavily contested system. War-torn worlds and battle debris.,Rumored
GIRSU,Home of the Vesh hive collective. Dim red star with dense-atmosphere worlds.,Rumored
ISIN,Direct route to Nineveh. Strategic gateway to eastern capital.,Rumored
SUMER,Home of the Remnant machine civilization. Ancient mysteries abound.,Rumored
AKKAD,Kethrani homeworld. Ocean worlds with aquatic culture and extensive trade networks.,Rumored
KISH,Three-way junction. The Nexus free port welcomes all. Mercenary presence on fortress moons.,Rumored
ERIDU,Gateway to Ugarit. Growing trade center with developing colonies.,Rumored
