id,location_type,location_id,facility_type,name,capacity,owner,operational,notes
1,Planet,3,SHIPYARD,The Anvil Shipyards,4,A,1,Primary Western Alliance construction facility.
2,Planet,3,REPAIR_DOCK,Sonal Fleet Base,3,A,1,Main repair and refit facility.
3,Moon,2,REFINERY,Forge Station Refinery,2,A,1,Processes Shepherd volatiles.
4,Planet,5,BEACON,Far Watch Array,0,A,1,Deep space sensor network hub.
5,Planet,7,SHIPYARD,Threshold Industries,3,A,1,Secondary construction facility.
6,Planet,9,FORTRESS,Bastion Command,0,A,1,Western Defense Command headquarters.
7,Planet,9,REPAIR_DOCK,Ur Fleet Yards,2,A,1,Military repair facility.
8,Planet,13,TRADE_HUB,Copper Gate Exchange,0,A,1,Gateway commerce center.
9,Planet,14,SHIPYARD,Meridian Academy Yards,2,A,1,Training and construction.
10,Belt,1,MINING_STATION,Shatter Mining Consortium,0,A,1,Asteroid mining operations.
11,Planet,19,SHIPYARD,Servitor Shipworks,5,B,1,Largest automated shipyard.
12,Planet,20,RESEARCH_LAB,Archive Repository,0,B,1,Knowledge and research center.
13,Planet,21,REFINERY,Leviathan Complex,3,B,1,Gas giant processing.
14,Planet,24,SHIPYARD,Gardens Fleet Base,4,B,1,Primary Eastern construction.
15,Planet,26,TRADE_HUB,Commerce Station,0,Neutral,1,Major neutral trading center.
16,Moon,13,FORTRESS,Babylon Watchtower,0,B,1,Fleet staging and command.
17,Planet,31,SHIPYARD,Foundry Shipyards,3,B,1,Eastern industrial yards.
18,Belt,3,MINING_STATION,Old Guard Salvage,0,B,1,Salvage and recycling.
19,Planet,48,TRADE_HUB,Adab Junction Hub,0,Neutral,1,Transit commerce center.
20,Belt,5,MINING_STATION,Sprawl Claims Alpha,0,Neutral,1,Asteroid mining zone.
21,Belt,5,MINING_STATION,Sprawl Claims Beta,0,Contested,1,Disputed mining zone.
22,Planet,58,TRADE_HUB,Confluence Station,0,Contested,1,Heavily contested trade hub.
23,Belt,6,MINING_STATION,Nippur Sprawl Mining,0,Neutral,1,Asteroid operations.
24,Planet,60,REFINERY,Tribute Depot,2,Neutral,1,Fuel processing center.
25,Belt,7,MINING_STATION,Quarry Claims,0,Contested,0,Abandoned after Lithoid objections.
26,Planet,77,MINING_STATION,Tideland Pits,0,Neutral,1,Lithoid-operated mines.
27,Planet,66,SHIPYARD,Forge Arms Works,2,Neutral,1,Weapons manufacturing.
28,Planet,69,TRADE_HUB,Lagash Exchange,0,Neutral,1,Crossroads commerce.
29,Belt,8,MINING_STATION,Scrapyard Salvage,0,Contested,1,War debris recovery.
30,Planet,86,REFINERY,Giants Toll Depot,1,Contested,1,Dangerous fuel extraction.
31,Planet,87,RESEARCH_LAB,Hive Biology Center,0,Neutral,1,Vesh research sharing.
32,Planet,92,RESEARCH_LAB,Eternal Archive,0,Neutral,1,Remnant knowledge base.
33,Planet,92,REPAIR_DOCK,Remnant Forge,2,Neutral,1,Machine precision repairs.
34,Planet,94,TRADE_HUB,Jewel Market,0,Neutral,1,Kethrani commercial center.
35,Planet,100,TRADE_HUB,Nexus Free Port,0,Neutral,1,Major neutral trading hub.
36,Moon,24,REPAIR_DOCK,Rampart Mercenary Yards,2,Neutral,1,Armed neutral repairs.
37,Planet,98,MINING_STATION,Glassine Crystal Works,0,Neutral,1,Crystal extraction.
38,Planet,104,TRADE_HUB,Passage Exchange,0,Neutral,1,Gateway to Ugarit trade.
39,Planet,38,TRADE_HUB,Crossroad Station,0,Neutral,1,Junction commerce.
40,Belt,4,MINING_STATION,Byblos Ring Operations,0,Neutral,1,Ring mining.
41,Planet,43,FORTRESS,Stalwart Garrison,0,Neutral,1,Frontier military post.
42,Moon,4,BEACON,Watchtower Signal,0,A,1,Sonal deep space monitoring.
43,Planet,35,BEACON,Waypoint Signal,0,A,1,First stop navigation aid.
44,Moon,9,SHIPYARD,Titan Yards,3,B,1,Nineveh moon shipyard.
45,Planet,53,RESEARCH_LAB,Tradition Archives,0,Neutral,1,Cultural preservation.
