system_name,rumor_text,knowledge_level
ARVEN,The heart of the Western Alliance. A stable yellow star with rich agricultural and industrial worlds.,Charted
BELIX,Ancient binary star system. Population centers on multiple worlds. Strong military presence.,Charted
CAYRU,Young energetic star. The Shatter asteroid belt is said to contain rare metals from a destroyed planet.,Charted
ZAREK,Brilliant white star. The Zarekites rule from Gilded Throne where ancient ruins predate their civilization.,Charted
ASTREX,Legendary Hanging Gardens orbit Astrex Prima. A center of culture and commerce for the East.,Charted
BRION,Ancient orange star said to be dying slowly. Industrial heartland with depleted resources.,Charted
DORSAI,First waypoint from Arven. Mostly undeveloped but strategically positioned.,Rumored
ELYR,Junction system between Belix and the contested zones. Trade and fishing colonies.,Rumored
FEXON,Distant orange star at the edge of charted space. Military outpost guards the approaches.,Rumored
GALEN,Young star with spectacular asteroid rings. Rumors of rich mineral deposits.,Rumored
HAVOR,Central junction. Three warplines meet here. Heavily trafficked and contested.,Rumored
ITHRA,One of the oldest stars known. Conservative population guards ancient ways.,Rumored
JEXEL,Dim star beginning its expansion. Hardy colonists survive in difficult conditions.,Rumored
KORAL,The Axis. Four warplines converge here. Most strategic location in contested space.,Rumored
LYRIS,Cold red dwarf near Havor. Sparse population in harsh conditions.,Unknown
MAVIK,Bright hot star. Inner planets are furnaces. Industrial development further out.,Rumored
NOREX,Major crossroads world. Cosmopolitan population from many cultures.,Rumored
OPHIR,Steady orange star near Norex. Border watchers monitor the contested zones.,Unknown
PRYON,Dim ancient red dwarf. Survival-focused colonies in minimal conditions.,Unknown
QUELL,Isolated red dwarf with single warpline. Rumors of exotic crystalline deposits and alien miners.,Rumored
RAXEN,Gateway to eastern territories. Developing colonies with growing importance.,Rumored
SYDRA,Four warplines meet at this heavily contested system. War-torn worlds and battle debris.,Rumored
TAVON,Home of the Vesh hive collective. Dim red star with dense-atmosphere worlds.,Rumored
ULEX,Direct route to Zarek. Strategic gateway to eastern capital.,Rumored
VARYN,Home of the Remnant machine civilization. Ancient mysteries abound.,Rumored
WEXAR,Kethrani homeworld. Ocean worlds with aquatic culture and extensive trade networks.,Rumored
XYLEN,Three-way junction. The Nexus free port welcomes all. Mercenary presence on fortress moons.,Rumored
YORIN,Gateway to Brion. Growing trade center with developing colonies.,Rumored
