id,location_type,location_id,resource_type,abundance,extraction_difficulty,notes
1,Planet,2,ORGANIC,Rich,Easy,Verdance agricultural output feeds the frontier.
2,Planet,2,WATER,High,Easy,Oceanic world. Abundant fresh water.
3,Planet,3,FERROUS,High,Moderate,The Anvil. Strip-mined but productive.
4,Planet,4,VOLATILE,Rich,Difficult,Shepherd gas giant extraction platforms.
5,Planet,5,WATER,Moderate,Difficult,Far Watch ice mining operations.
6,Moon,1,ORGANIC,Moderate,Easy,Hope agricultural domes.
7,Moon,2,VOLATILE,High,Moderate,Forge Station refinery output.
8,Planet,8,RARE_EARTH,High,Moderate,Haven industrial base.
9,Moon,5,RARE_EARTH,Rich,Difficult,Jewel underground deposits.
10,Planet,10,VOLATILE,High,Moderate,Cloud Marshal helium-3 harvesting.
11,Belt,1,FERROUS,Rich,Moderate,The Shatter metallic asteroids.
12,Belt,1,RARE_EARTH,High,Difficult,The Shatter rare metal deposits.
13,Planet,14,CRYSTALLINE,Moderate,Moderate,Meridian crystal formations.
14,Planet,15,VOLATILE,High,Moderate,Mammoth gas extraction.
15,Planet,18,EXOTIC,Trace,Extreme,Gilded Throne ancient ruins materials.
16,Planet,18,CRYSTALLINE,High,Moderate,Archive data crystal deposits.
17,Planet,19,FERROUS,High,Easy,Servitor automated mining.
18,Belt,2,WATER,High,Easy,The Procession ice harvesting.
19,Planet,24,ORGANIC,Rich,Easy,Hanging Gardens legendary fertility.
20,Planet,24,WATER,High,Easy,Hanging Gardens oceanic resources.
21,Planet,25,CRYSTALLINE,Moderate,Moderate,Ziggurat religious crystal artifacts.
22,Planet,30,ORGANIC,High,Easy,Dagans Rest agricultural world.
23,Planet,31,FERROUS,Moderate,Moderate,The Foundry depleted reserves.
24,Planet,32,VOLATILE,Moderate,Moderate,Saltpan chemical processing.
25,Belt,3,FERROUS,Moderate,Easy,Old Guard salvage operations.
26,Planet,48,FERROUS,Moderate,Moderate,Havor Junction mining.
27,Planet,49,ORGANIC,Moderate,Easy,Green Belt agricultural.
28,Belt,5,FERROUS,High,Moderate,The Sprawl Havor mining.
29,Belt,5,RARE_EARTH,Moderate,Moderate,The Sprawl rare deposits.
30,Planet,57,FERROUS,High,Moderate,Koral First Light heavy metals.
31,Belt,6,FERROUS,High,Moderate,Koral Sprawl mining.
32,Planet,60,VOLATILE,High,Moderate,Tribute fuel depot.
33,Belt,7,FERROUS,High,Moderate,The Quarry metallic asteroids.
34,Belt,7,EXOTIC,Moderate,Extreme,Keplerite crystalline deposits.
35,Planet,77,FERROUS,Moderate,Difficult,Tideland Lithoid mining.
36,Planet,65,FERROUS,Moderate,Moderate,Mavik Tempered refining.
37,Planet,66,FERROUS,Moderate,Easy,Mavik Forge industrial.
38,Planet,69,ORGANIC,Moderate,Easy,Norex Center urban agriculture.
39,Planet,70,ORGANIC,Moderate,Easy,Norex Stable agricultural.
40,Belt,8,FERROUS,Moderate,Moderate,Sydra Scrapyard salvage.
41,Planet,85,ORGANIC,High,Easy,Sydra Bounty when not burning.
42,Planet,85,WATER,Moderate,Easy,Sydra Bounty irrigation.
43,Planet,86,VOLATILE,High,Difficult,Giants Toll dangerous extraction.
44,Planet,87,ORGANIC,Moderate,Difficult,Tavon Hive biological output.
45,Planet,92,CRYSTALLINE,Moderate,Moderate,Varyn Eternal machine components.
46,Planet,93,RARE_EARTH,Moderate,Moderate,Varyn Archive electronics.
47,Planet,94,ORGANIC,Rich,Easy,Wexar Jewel oceanic abundance.
48,Planet,94,WATER,Rich,Easy,Wexar Jewel vast oceans.
49,Planet,95,ORGANIC,High,Easy,Wexar Pearl seafood.
50,Planet,95,WATER,High,Easy,Wexar Pearl ocean coverage.
51,Planet,98,CRYSTALLINE,Rich,Moderate,Xylen Glassine crystal mining.
52,Planet,100,ORGANIC,Moderate,Easy,Xylen Nexus trade goods.
53,Belt,12,CRYSTALLINE,Moderate,Moderate,Xylen Crystal Field unusual deposits.
54,Planet,104,ORGANIC,Moderate,Easy,Yorin Passage trade center.
55,Planet,52,RARE_EARTH,Low,Moderate,Ithra Keeper old deposits.
56,Planet,34,FERROUS,Moderate,Moderate,Dorsai Sunder volcanic metals.
57,Planet,41,FERROUS,Low,Moderate,Fexon Stone minimal deposits.
58,Belt,4,FERROUS,High,Moderate,Galen Ring mixed composition.
59,Belt,4,RARE_EARTH,Moderate,Moderate,Galen Ring rare materials.
60,Planet,36,ORGANIC,Low,Easy,Dorsai Quiet agricultural development.
61,Planet,38,ORGANIC,Moderate,Easy,Elyr Crossroad trade goods.
62,Planet,39,WATER,High,Easy,Elyr Lowlands ocean world.
63,Planet,39,ORGANIC,High,Easy,Elyr Lowlands fishing.
64,Planet,43,FERROUS,Moderate,Moderate,Fexon Stalwart military industry.
65,Planet,55,FERROUS,Low,Difficult,Jexel Endurance sparse mining.
66,Planet,80,FERROUS,Moderate,Moderate,Raxen Gateway industrial.
67,Planet,81,ORGANIC,Moderate,Easy,Raxen Promise developing agriculture.
68,Planet,89,FERROUS,Low,Moderate,Ulex Pale sparse resources.
69,Planet,96,ORGANIC,Moderate,Easy,Wexar Atoll island agriculture.
70,Planet,75,FERROUS,Low,Difficult,Pryon Dim Shore sparse.
71,Moon,22,RARE_EARTH,Moderate,Moderate,Varyn Memory data storage materials.
72,Moon,9,FERROUS,High,Moderate,Zarek Titan shipyard materials.
73,Moon,21,CRYSTALLINE,Moderate,Moderate,Vesh Nursery biological crystals.
